DBN,schoolyear,% of cohort,fl_percent,frl_percent,total_enrollment,grade9,grade10,grade11,grade12,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,has_junior_high,total_elem,total_kg,has_kg,has_elem,total_junior_high,only_hs,levels_not_hs
02M418,2010,99.3,0.0,44.8,637,158.0,181.0,153.0,145.0,0.0,8.9,28.3,9.3,24.8,37.2,37.8,62.2,0,0.0,0.0,0,0,0.0,1,0
22K425,2010,82.9,0.0,52.0,3145,969.0,953.0,567.0,656.0,12.9,12.3,19.4,18.9,15.0,46.4,54.1,45.9,0,0.0,0.0,0,0,0.0,1,0
07X334,2006,67.2,60.0,0.0,97,97.0,0.0,0.0,0.0,40.2,0.0,3.1,23.7,69.1,2.1,56.7,43.3,0,0.0,0.0,0,0,0.0,1,0
31R605,2009,100.0,0.0,13.8,1015,285.0,229.0,212.0,289.0,0.0,1.0,28.6,2.2,4.9,63.8,59.3,40.7,0,0.0,0.0,0,0,0.0,1,0
10X438,2011,65.5,0.0,78.9,451,162.0,133.0,72.0,84.0,16.6,20.6,2.7,27.7,67.8,1.3,63.4,36.6,0,0.0,0.0,0,0,0.0,1,0
09X297,2009,69.0,0.0,84.0,428,108.0,128.0,109.0,83.0,18.0,21.5,0.5,32.5,65.2,0.5,52.3,47.7,0,0.0,0.0,0,0,0.0,1,0
07X551,2008,90.2,75.2,0.0,502,90.0,93.0,81.0,67.0,8.8,18.1,1.8,36.9,60.4,0.6,38.8,61.2,1,0.0,0.0,0,0,171.0,0,1
23K646,2011,48.2,0.0,72.5,275,53.0,94.0,33.0,95.0,2.2,7.3,1.5,77.8,20.0,0.4,46.2,53.8,0,0.0,0.0,0,0,0.0,1,0
06M423,2010,57.4,0.0,97.6,134,66.0,68.0,0.0,0.0,21.6,43.3,0.0,23.9,75.4,0.0,56.0,44.0,0,0.0,0.0,0,0,0.0,1,0
07X655,2007,49.1,85.0,0.0,1488,599.0,417.0,324.0,148.0,15.2,19.0,1.4,28.3,68.3,0.9,76.1,23.9,0,0.0,0.0,0,0,0.0,1,0
07X221,2009,91.1,0.0,81.1,577,94.0,84.0,73.0,78.0,8.5,18.0,1.0,31.2,67.1,0.3,44.9,55.1,1,0.0,0.0,0,0,248.0,0,1
04M635,2008,71.3,65.8,0.0,558,170.0,137.0,51.0,59.0,8.6,18.8,1.8,31.9,64.5,0.5,55.2,44.8,1,0.0,0.0,0,0,141.0,0,1
04M695,2005,61.7,73.3,0.0,322,119.0,65.0,79.0,59.0,2.8,17.4,0.9,57.8,38.5,1.6,50.9,49.1,0,0.0,0.0,0,0,0.0,1,0
30Q445,2007,68.2,33.2,0.0,3161,1028.0,933.0,612.0,588.0,23.6,9.2,26.6,9.4,47.6,15.4,53.3,46.7,0,0.0,0.0,0,0,0.0,1,0
28Q620,2006,90.3,32.6,0.0,2643,907.0,733.0,478.0,525.0,0.6,5.4,36.5,29.1,24.3,5.9,65.5,34.5,0,0.0,0.0,0,0,0.0,1,0
12X682,2005,73.0,92.6,0.0,467,126.0,150.0,103.0,88.0,8.8,21.0,0.4,33.6,63.0,1.3,47.5,52.5,0,0.0,0.0,0,0,0.0,1,0
02M047,2011,84.6,0.0,66.9,174,50.0,63.0,38.0,23.0,8.0,32.2,1.7,32.2,59.2,6.3,42.5,57.5,0,0.0,0.0,0,0,0.0,1,0
02M294,2011,86.7,0.0,60.8,343,93.0,97.0,69.0,84.0,3.8,20.4,4.1,27.7,60.6,7.6,53.4,46.6,0,0.0,0.0,0,0,0.0,1,0
15K497,2007,75.0,73.0,0.0,471,116.0,84.0,55.0,58.0,10.8,16.3,3.6,44.2,36.1,15.9,53.1,46.9,1,0.0,0.0,0,0,158.0,0,1
01M539,2009,97.8,0.0,19.6,1480,145.0,177.0,130.0,47.0,0.5,3.2,25.2,11.6,15.8,44.6,47.6,52.4,1,468.0,119.0,1,1,394.0,0,3
21K728,2007,48.7,60.0,0.0,165,63.0,80.0,22.0,0.0,1.8,12.7,3.0,50.9,31.5,14.5,60.0,40.0,0,0.0,0.0,0,0,0.0,1,0
09X413,2005,95.8,97.0,0.0,432,108.0,111.0,129.0,48.0,9.0,3.5,6.3,37.5,50.9,1.2,32.2,67.8,1,0.0,0.0,0,0,36.0,0,1
10X546,2008,76.9,77.1,0.0,415,122.0,133.0,72.0,88.0,7.5,10.6,0.5,35.2,61.9,2.4,27.7,72.3,0,0.0,0.0,0,0,0.0,1,0
11X514,2008,64.5,57.3,0.0,330,137.0,94.0,66.0,33.0,10.9,19.7,1.2,40.3,55.8,2.1,79.1,20.9,0,0.0,0.0,0,0,0.0,1,0
28Q505,2010,81.8,0.0,76.4,3289,953.0,877.0,665.0,794.0,12.7,8.2,34.1,40.1,22.3,2.6,44.1,55.9,0,0.0,0.0,0,0,0.0,1,0
05M469,2009,64.0,0.0,79.3,417,52.0,54.0,46.0,40.0,3.6,13.7,0.0,78.7,20.1,0.2,38.6,61.4,1,0.0,0.0,0,0,225.0,0,1
09X365,2007,88.6,60.0,0.0,110,110.0,0.0,0.0,0.0,91.8,0.0,0.0,0.0,100.0,0.0,57.3,42.7,0,0.0,0.0,0,0,0.0,1,0
10X440,2008,62.9,61.6,0.0,4388,1598.0,1237.0,827.0,726.0,19.8,11.5,6.0,26.0,64.8,2.4,48.1,51.9,0,0.0,0.0,0,0,0.0,1,0
05M692,2011,97.9,0.0,18.5,406,117.0,96.0,95.0,98.0,0.0,0.0,36.2,15.0,21.2,26.1,65.8,34.2,0,0.0,0.0,0,0,0.0,1,0
21K728,2008,46.2,85.4,0.0,172,18.0,53.0,50.0,51.0,0.6,8.7,5.8,47.7,28.5,18.0,52.3,47.7,0,0.0,0.0,0,0,0.0,1,0
02M298,2007,96.8,74.0,0.0,410,115.0,101.0,92.0,102.0,0.7,9.8,29.0,26.1,31.0,7.3,50.0,50.0,0,0.0,0.0,0,0,0.0,1,0
